id_cas,probability_0,probability_1
A10,0.28974660725768797,0.7102533927423121
A10,0.36416108952268356,0.6358389104773163
A10,0.3051081415634252,0.694891858436575
A11,0.3643879072086828,0.6356120927913173
A11,0.3202723879987018,0.6797276120012983
A11,0.41331543957464495,0.586684560425355
A12,0.7124095880570988,0.2875904119429014
A12,0.6346186559042732,0.36538134409572687
A12,0.41982877706896166,0.5801712229310382
A12,0.3051173413630937,0.6948826586369063
A13,0.4255974444972023,0.574402555502798
A13,0.1832230405371772,0.8167769594628227
A13,0.28255642903385153,0.7174435709661486
A13,0.3727613410286089,0.6272386589713911
A13,0.2599422837203036,0.7400577162796966
A13,0.42239491020621295,0.5776050897937871
A14,0.5432105641227722,0.45678943587722765
A15,0.24076711796988273,0.7592328820301175
A15,0.3245003147820526,0.6754996852179475
A15,0.47892357044389655,0.5210764295561034
A15,0.3861693065189678,0.6138306934810323
A16,0.5844579432500708,0.41554205674992917
A17,0.36714789177233165,0.6328521082276685
A17,0.4715499593644369,0.5284500406355632
A17,0.5,0.5
A18,0.34505640279974265,0.6549435972002571
A18,0.1904099357712505,0.8095900642287495
A18,0.4379211759033766,0.5620788240966235
A18,0.3676122632601959,0.6323877367398041
A19,0.22653137683779498,0.7734686231622051
A19,0.30403838942905576,0.6959616105709442
A1,0.38358612602021275,0.6164138739797873
A20,0.32759955549086095,0.6724004445091388
A20,0.48286017015595534,0.5171398298440447
A20,0.3985224775497902,0.6014775224502099
A20,0.6183212040057954,0.38167879599420457
A21,0.257975307468224,0.7420246925317762
A21,0.2559899650101309,0.7440100349898691
A22,0.4039916929688552,0.5960083070311448
A22,0.2007634054220766,0.7992365945779232
A23,0.5766226398270332,0.4233773601729669
A23,0.6952889881991641,0.304711011800836
A23,0.4525874879600896,0.5474125120399106
A24,0.3458613164489605,0.6541386835510395
A24,0.4880958985296523,0.5119041014703476
A25,0.49302675174966515,0.5069732482503349
A25,0.490596377857692,0.509403622142308
A25,0.4276023785840157,0.5723976214159842
A25,0.48606695767762587,0.513933042322374
A26,0.3160003571825259,0.6839996428174743
A27,0.47384435339580955,0.5261556466041905
A27,0.3887998813902386,0.6112001186097614
A28,0.38583438673996295,0.6141656132600372
A28,0.46249310201408794,0.537506897985912
A28,0.44407003317546295,0.555929966824537
A28,0.6192697235608656,0.3807302764391343
A28,0.5052669247760813,0.4947330752239187
A29,0.38060959122994226,0.6193904087700579
A2,0.6797631983721384,0.32023680162786167
A2,0.47327674580458196,0.526723254195418
A30,0.13629503270979076,0.863704967290209
A30,0.21237484046458874,0.7876251595354112
A31,0.5591434191078524,0.4408565808921477
A31,0.19739009491566503,0.8026099050843349
A32,0.4167638259268867,0.5832361740731133
A32,0.5318909340268332,0.46810906597316676
A33,0.34402029835209336,0.6559797016479065
A33,0.39355545333513836,0.6064445466648616
A34,0.37826035086579657,0.6217396491342035
A34,0.3051072390716083,0.6948927609283918
A35,0.39357620909407554,0.6064237909059247
A35,0.5,0.5
A36,0.39210834357489294,0.6078916564251071
A36,0.4218663293350369,0.5781336706649631
A36,0.5,0.5
A36,0.6515605176636596,0.3484394823363404
A37,0.6263444524289002,0.3736555475710997
A37,0.3110084744282649,0.688991525571735
A37,0.3050242621300342,0.6949757378699657
